site_no,dec_lat_va,dec_long_va,ppt_m01_mm,ppt_m02_mm,ppt_m03_mm,ppt_m04_mm,ppt_m05_mm,ppt_m06_mm,ppt_m07_mm,ppt_m08_mm,ppt_m09_mm,ppt_m10_mm,ppt_m11_mm,ppt_m12_mm,ppt_ann_mm,tmean_m01_c,tmean_m02_c,tmean_m03_c,tmean_m04_c,tmean_m05_c,tmean_m06_c,tmean_m07_c,tmean_m08_c,tmean_m09_c,tmean_m10_c,tmean_m11_c,tmean_m12_c,tmean_ann_C
06853100,40.26306828,-98.3756098,15.184799194335938,18.525400161743164,35.967098236083984,61.143497467041016,112.90589904785156,94.78289794921875,97.71589660644531,79.38999938964844,55.53229904174805,52.06589889526367,30.779600143432617,20.76369857788086,674.75860595703125,-3.9520998001098633,-1.8431999683380127,4.056600093841553,9.680999755859375,15.7524995803833,21.87649917602539,24.44499969482422,23.089799880981445,18.60919952392578,11.326600074768066,3.8945999145507812,-2.0887999534606934,10.399999618530273
06853500,39.9936611,-97.9318583,16.99250030517578,20.619098663330078,37.78969955444336,63.82929992675781,117.368896484375,104.05500030517578,107.4197006225586,85.7365951538086,62.038997650146484,51.71879959106445,31.53679847717285,24.06060028076172,723.1676025390625,-2.9275999069213867,-0.6559999585151672,5.196099758148193,10.983799934387207,16.917598724365234,22.890798568725586,25.4689998626709,24.17609977722168,19.60249900817871,12.481399536132812,4.7957000732421875,-1.1239999532699585,11.479999542236328
06853800,39.89918,-98.2503276,15.723199844360352,19.89739990234375,37.1525993347168,62.27969741821289,107.65069580078125,96.70769500732422,104.393798828125,86.2864990234375,58.798797607421875,53.12629699707031,31.824499130249023,23.499799728393555,697.3428955078125,-3.0035998821258545,-0.7716999650001526,5.057499885559082,10.692399978637695,16.536399841308594,22.626699447631836,25.317798614501953,23.960298538208008,19.33289909362793,12.153999328613281,4.588500022888184,-1.3395999670028687,11.25999927520752
06854500,39.79873,-97.7931266,15.393699645996094,21.579999923706055,38.75419998168945,69.09600067138672,112.35769653320312,108.02009582519531,111.41839599609375,87.07579803466797,68.375,51.63710021972656,30.20819854736328,24.81869888305664,738.736572265625,-2.6096999645233154,-0.4416999816894531,5.502599716186523,11.19909954071045,17.226900100708008,23.243499755859375,25.81060028076172,24.462900161743164,19.904998779296875,12.797599792480469,5.093100070953369,-0.8395999670028687,11.779999732971191
06855800,39.6145692,-97.8568182,16.817899703979492,22.558300018310547,38.231300354003906,65.88279724121094,110.46260070800781,108.17449951171875,109.61190032958984,89.37089538574219,67.87580108642578,50.82460021972656,30.8091983795166,25.725299835205078,736.34686279296875,-2.1106998920440674,0.10249999910593033,5.949399948120117,11.50529956817627,17.4064998626709,23.4877986907959,26.17879867553711,24.838098526000977,20.247900009155273,13.08549976348877,5.505300045013428,-0.43699997663497925,12.149999618530273
06856600,39.3555515,-97.1275203,18.04360008239746,25.694700241088867,46.379398345947266,73.2344970703125,121.3667984008789,117.25609588623047,109.75569915771484,103.52079772949219,71.400299072265625,58.515098571777344,37.6156005859375,28.169498443603516,810.95367431640625,-1.7537999153137207,0.679099977016449,6.597399711608887,12.233399391174316,18.050399780273438,23.761098861694336,26.421499252319336,25.25389862060547,20.603599548339844,13.643099784851074,6.216399669647217,0.24300000071525574,12.65999984741211
06858500,39.01787498,-101.3479109,8.16409969329834,12.356499671936035,23.624099731445312,41.489498138427734,66.170196533203125,67.9563980102539,86.81700134277344,73.81919860839844,39.85020065307617,36.28730010986328,14.903199195861816,13.412699699401855,484.8518981933594,-1.2003999948501587,0.32170000672340393,5.353099822998047,10.204699516296387,16.053499221801758,22.38409996032715,25.30539894104004,23.926799774169922,19.340999603271484,11.788000106811523,4.56719970703125,-0.6304000020027161,11.449999809265137
06859500,38.7889022,-100.8698688,9.859700202941895,14.299999237060547,26.340700149536133,43.914798736572266,77.51290130615234,72.02510070800781,86.11650085449219,72.1166000366211,42.487998962402344,40.612300872802734,16.359100341796875,15.871599197387695,517.51806640625,-1.1273999214172363,0.47540000081062317,5.721299648284912,10.750499725341797,16.576499938964844,22.98550033569336,25.807100296020508,24.472999572753906,19.949298858642578,12.42140007019043,5.154599666595459,-0.30079999566078186,11.90999984741211
06860000,38.7947354,-100.8584796,9.859700202941895,14.299999237060547,26.340700149536133,43.914798736572266,77.51290130615234,72.02510070800781,86.11650085449219,72.1166000366211,42.487998962402344,40.612300872802734,16.359100341796875,15.871599197387695,517.51806640625,-1.1273999214172363,0.47540000081062317,5.721299648284912,10.750499725341797,16.576499938964844,22.98550033569336,25.807100296020508,24.472999572753906,19.949298858642578,12.42140007019043,5.154599666595459,-0.30079999566078186,11.90999984741211
06860500,38.9535598,-100.4881514,11.294300079345703,15.533799171447754,32.776100158691406,52.409297943115234,84.65729522705078,68.945098876953125,97.45489501953125,71.21879577636719,47.23830032348633,44.31570053100586,16.760499954223633,18.22760009765625,560.8330078125,-1.2214000225067139,0.4138000011444092,5.639800071716309,10.60689926147461,16.483699798583984,22.72760009765625,25.610898971557617,24.34079933166504,19.71809959411621,12.291099548339844,5.069399833679199,-0.37869998812675476,11.779999732971191
