NA_L3CODE,NA_L3NAME,prism_ppt_seasonal_iqr_mm
9.3.4,Nebraska Sand Hills,109.71320343017578
9.3.4,Nebraska Sand Hills,108.46401977539062
9.3.4,Nebraska Sand Hills,109.40911865234375
9.3.4,Nebraska Sand Hills,90.87327575683594
9.3.4,Nebraska Sand Hills,102.93380737304688
9.3.4,Nebraska Sand Hills,114.94999694824219
9.3.4,Nebraska Sand Hills,101.9779052734375
9.3.4,Nebraska Sand Hills,103.17420196533203
9.3.4,Nebraska Sand Hills,112.12960052490234
9.4.1,High Plains,46.298789978027344
9.4.1,High Plains,82.250640869140625
9.4.1,High Plains,61.37361145019531
9.4.1,High Plains,82.26227569580078
9.4.1,High Plains,41.82047653198242
9.4.1,High Plains,67.52629852294922
9.4.1,High Plains,86.1634292602539
9.4.1,High Plains,49.04384231567383
9.4.1,High Plains,71.38861083984375
9.4.1,High Plains,88.47460174560547
9.4.1,High Plains,74.30268096923828
9.4.1,High Plains,75.62169647216797
9.4.1,High Plains,47.56039047241211
9.4.1,High Plains,90.85124969482422
9.4.1,High Plains,92.7753677368164
9.4.1,High Plains,89.76580810546875
9.4.1,High Plains,79.730621337890625
9.4.1,High Plains,78.63443756103516
9.4.1,High Plains,78.41889190673828
9.4.1,High Plains,55.38204574584961
9.4.1,High Plains,57.7334098815918
9.4.1,High Plains,62.61280822753906
9.4.1,High Plains,53.66097640991211
9.4.1,High Plains,48.28904724121094
9.4.1,High Plains,82.805908203125
9.4.1,High Plains,66.73335266113281
9.4.1,High Plains,56.171653747558594
9.4.1,High Plains,101.59659576416016
9.4.1,High Plains,48.804115295410156
9.4.1,High Plains,66.27007293701172
9.4.1,High Plains,82.7686767578125
9.4.1,High Plains,62.84588623046875
9.4.1,High Plains,47.85737228393555
9.4.1,High Plains,74.78022766113281
9.4.1,High Plains,71.24149322509766
9.4.1,High Plains,71.58903503417969
9.4.1,High Plains,84.24459075927734
9.4.1,High Plains,103.6906967163086
9.4.1,High Plains,81.18382263183594
9.4.1,High Plains,86.79132843017578
9.4.1,High Plains,90.262481689453125
9.4.1,High Plains,74.3489990234375
9.4.1,High Plains,64.72960662841797
9.4.1,High Plains,92.81962585449219
9.4.1,High Plains,99.50636291503906
9.4.1,High Plains,76.34001159667969
9.4.1,High Plains,81.47056579589844
9.4.1,High Plains,56.276573181152344
9.4.1,High Plains,93.57547760009766
9.4.1,High Plains,75.91661071777344
9.4.1,High Plains,73.90126037597656
9.4.1,High Plains,65.53199768066406
9.4.1,High Plains,87.640472412109375
9.4.1,High Plains,91.19129943847656
9.4.1,High Plains,90.56572723388672
9.4.1,High Plains,74.7070541381836
9.4.1,High Plains,69.1595687866211
9.4.1,High Plains,90.37870025634766
9.4.1,High Plains,90.56098175048828
9.4.1,High Plains,77.590667724609375
9.4.1,High Plains,77.3607406616211
9.4.1,High Plains,68.68738555908203
9.4.1,High Plains,92.87174224853516
9.4.1,High Plains,84.1778793334961
9.4.1,High Plains,73.7534408569336
9.4.1,High Plains,65.73640441894531
9.4.1,High Plains,71.309417724609375
9.4.1,High Plains,69.53148651123047
9.4.1,High Plains,84.0269546508789
9.4.1,High Plains,67.91419219970703
9.4.1,High Plains,69.4813461303711
9.4.1,High Plains,65.5576171875
9.4.1,High Plains,68.515838623046875
9.4.1,High Plains,69.82472229003906
9.4.2,Central Great Plains,101.76251220703125
9.4.2,Central Great Plains,115.1314697265625
9.4.2,Central Great Plains,114.86869812011719
9.4.2,Central Great Plains,115.78968048095703
9.4.2,Central Great Plains,37.92531204223633
9.4.2,Central Great Plains,116.02114868164062
9.4.2,Central Great Plains,82.63300323486328
9.4.2,Central Great Plains,29.119104385375977
9.4.2,Central Great Plains,76.930023193359375
9.4.2,Central Great Plains,31.226011276245117
9.4.2,Central Great Plains,114.00289154052734
9.4.2,Central Great Plains,60.30253219604492
9.4.2,Central Great Plains,116.3348388671875
