NA_L3CODE,NA_L3NAME,prism_ppt_seasonal_sd_mm
9.3.3,Northwestern Great Plains,42.84109115600586
9.3.3,Northwestern Great Plains,42.05076599121094
9.3.3,Northwestern Great Plains,48.62437438964844
9.3.3,Northwestern Great Plains,38.166812896728516
9.3.3,Northwestern Great Plains,52.24061965942383
9.3.3,Northwestern Great Plains,50.92545700073242
9.3.3,Northwestern Great Plains,55.844512939453125
9.3.3,Northwestern Great Plains,60.763389587402344
9.3.3,Northwestern Great Plains,65.1612319946289
9.3.3,Northwestern Great Plains,49.850284576416016
9.3.3,Northwestern Great Plains,49.2156982421875
9.3.3,Northwestern Great Plains,43.94325256347656
9.3.3,Northwestern Great Plains,45.6789436340332
9.3.3,Northwestern Great Plains,43.62909698486328
9.3.3,Northwestern Great Plains,57.8421516418457
9.3.3,Northwestern Great Plains,45.29658889770508
9.3.3,Northwestern Great Plains,48.663299560546875
9.3.3,Northwestern Great Plains,62.61220169067383
9.3.3,Northwestern Great Plains,68.834381103515625
9.3.3,Northwestern Great Plains,44.445899963378906
9.3.3,Northwestern Great Plains,55.14432907104492
9.3.3,Northwestern Great Plains,55.00156021118164
9.3.3,Northwestern Great Plains,47.10899353027344
9.3.3,Northwestern Great Plains,39.694488525390625
9.3.3,Northwestern Great Plains,64.61666107177734
9.3.3,Northwestern Great Plains,40.68572235107422
9.3.3,Northwestern Great Plains,54.3225212097168
9.3.3,Northwestern Great Plains,53.20914077758789
9.3.3,Northwestern Great Plains,61.298213958740234
9.3.3,Northwestern Great Plains,43.56117248535156
9.3.3,Northwestern Great Plains,69.2774658203125
9.3.3,Northwestern Great Plains,63.692115783691406
9.3.3,Northwestern Great Plains,56.584503173828125
9.3.4,Nebraska Sand Hills,88.29771423339844
9.3.4,Nebraska Sand Hills,86.968231201171875
9.3.4,Nebraska Sand Hills,95.292205810546875
9.3.4,Nebraska Sand Hills,74.13191223144531
9.3.4,Nebraska Sand Hills,88.9312744140625
9.3.4,Nebraska Sand Hills,94.90240478515625
9.3.4,Nebraska Sand Hills,80.61076354980469
9.3.4,Nebraska Sand Hills,91.6123046875
9.3.4,Nebraska Sand Hills,86.35113525390625
9.4.1,High Plains,57.35396957397461
9.4.1,High Plains,66.99170684814453
9.4.1,High Plains,70.616180419921875
9.4.1,High Plains,80.09686279296875
9.4.1,High Plains,38.71461868286133
9.4.1,High Plains,75.81892395019531
9.4.1,High Plains,79.46898651123047
9.4.1,High Plains,44.163700103759766
9.4.1,High Plains,56.074241638183594
9.4.1,High Plains,84.35161590576172
9.4.1,High Plains,55.096248626708984
9.4.1,High Plains,57.514312744140625
9.4.1,High Plains,69.93121337890625
9.4.1,High Plains,77.5146484375
9.4.1,High Plains,70.24756622314453
9.4.1,High Plains,69.61872100830078
9.4.1,High Plains,65.51554107666016
9.4.1,High Plains,78.64927673339844
9.4.1,High Plains,75.2182388305664
9.4.1,High Plains,49.434593200683594
9.4.1,High Plains,74.204132080078125
9.4.1,High Plains,47.55059814453125
9.4.1,High Plains,62.35028076171875
9.4.1,High Plains,71.99813079833984
9.4.1,High Plains,66.09674072265625
9.4.1,High Plains,49.90611267089844
9.4.1,High Plains,71.842254638671875
9.4.1,High Plains,86.37775421142578
9.4.1,High Plains,72.63056945800781
9.4.1,High Plains,49.20384979248047
9.4.1,High Plains,64.58361053466797
9.4.1,High Plains,74.13916778564453
9.4.1,High Plains,44.43376541137695
9.4.1,High Plains,56.90155029296875
9.4.1,High Plains,73.4335708618164
9.4.1,High Plains,75.06986999511719
9.4.1,High Plains,62.64281463623047
9.4.1,High Plains,82.2166748046875
9.4.1,High Plains,58.7302131652832
9.4.1,High Plains,76.58419036865234
9.4.1,High Plains,78.91136932373047
9.4.1,High Plains,59.005279541015625
9.4.1,High Plains,50.88715362548828
9.4.1,High Plains,78.74222564697266
9.4.1,High Plains,81.32076263427734
9.4.1,High Plains,62.63163757324219
