path,type,size,permissions,modification_time,user,group,device_id,hard_links,special_device_id,inode,block_size,blocks,flags,generation,access_time,change_time,birth_time,file_type,basename,size_mb
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_03_bil/PRISM_tmean_30yr_normal_4kmM5_03_bil.bil,file,  3.33M,rw-r--r--,2025-04-13T23:29:40Z,cjtinant,staff,16777230,1,0,197914730,4096,6824,64,0,2025-04-21T00:11:44Z,2025-04-13T23:30:10Z,2025-04-13T23:29:40Z,bil,PRISM_tmean_30yr_normal_4kmM5_03_bil.bil,3.49
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_03_bil/PRISM_tmean_30yr_normal_4kmM5_03_bil.hdr,file,316,rw-r--r--,2025-04-13T23:29:40Z,cjtinant,staff,16777230,1,0,197914733,4096,8,64,0,2025-04-21T00:59:16Z,2025-04-13T23:30:10Z,2025-04-13T23:29:40Z,hdr,PRISM_tmean_30yr_normal_4kmM5_03_bil.hdr,0
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_03_bil/PRISM_tmean_30yr_normal_4kmM5_03_bil.stx,file, 34,rw-r--r--,2025-04-13T23:29:40Z,cjtinant,staff,16777230,1,0,197914736,4096,8,64,0,2025-04-21T00:59:16Z,2025-04-13T23:30:10Z,2025-04-13T23:29:40Z,stx,PRISM_tmean_30yr_normal_4kmM5_03_bil.stx,0
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_03_bil.zip,file,  1.54M,rw-r--r--,2025-04-13T23:29:40Z,cjtinant,staff,16777230,1,0,197914647,4096,3168,64,0,2025-04-14T04:14:15Z,2025-04-13T23:30:10Z,2025-04-13T23:29:36Z,zip,PRISM_tmean_30yr_normal_4kmM5_03_bil.zip,1.62
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_04_bil/PRISM_tmean_30yr_normal_4kmM5_04_bil.bil,file,  3.33M,rw-r--r--,2025-04-13T23:29:42Z,cjtinant,staff,16777230,1,0,197914800,4096,6824,64,0,2025-04-21T00:11:44Z,2025-04-13T23:30:10Z,2025-04-13T23:29:42Z,bil,PRISM_tmean_30yr_normal_4kmM5_04_bil.bil,3.49
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_04_bil/PRISM_tmean_30yr_normal_4kmM5_04_bil.hdr,file,316,rw-r--r--,2025-04-13T23:29:42Z,cjtinant,staff,16777230,1,0,197914802,4096,8,64,0,2025-04-21T00:59:16Z,2025-04-13T23:30:10Z,2025-04-13T23:29:42Z,hdr,PRISM_tmean_30yr_normal_4kmM5_04_bil.hdr,0
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_04_bil/PRISM_tmean_30yr_normal_4kmM5_04_bil.stx,file, 34,rw-r--r--,2025-04-13T23:29:42Z,cjtinant,staff,16777230,1,0,197914805,4096,8,64,0,2025-04-21T00:59:16Z,2025-04-13T23:30:10Z,2025-04-13T23:29:42Z,stx,PRISM_tmean_30yr_normal_4kmM5_04_bil.stx,0
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_04_bil.zip,file,  1.49M,rw-r--r--,2025-04-13T23:29:42Z,cjtinant,staff,16777230,1,0,197914742,4096,3064,64,0,2025-04-14T04:14:15Z,2025-04-13T23:30:10Z,2025-04-13T23:29:41Z,zip,PRISM_tmean_30yr_normal_4kmM5_04_bil.zip,1.57
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_05_bil/PRISM_tmean_30yr_normal_4kmM5_05_bil.bil,file,  3.33M,rw-r--r--,2025-04-13T23:29:44Z,cjtinant,staff,16777230,1,0,197914843,4096,6824,64,0,2025-04-21T00:11:44Z,2025-04-13T23:31:05Z,2025-04-13T23:29:44Z,bil,PRISM_tmean_30yr_normal_4kmM5_05_bil.bil,3.49
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/raster_raw/PRISM_tmean_30yr_normal_4kmM5_05_bil/PRISM_tmean_30yr_normal_4kmM5_05_bil.hdr,file,316,rw-r--r--,2025-04-13T23:29:44Z,cjtinant,staff,16777230,1,0,197914845,4096,8,64,0,2025-04-21T00:59:16Z,2025-04-13T23:31:05Z,2025-04-13T23:29:44Z,hdr,PRISM_tmean_30yr_normal_4kmM5_05_bil.hdr,0
