site_no,dec_lat_va,dec_long_va,ordinal_num,type
08180500,29.498,-98.9055,1,all sites
08180000,29.5055085,-98.9033619,1,all sites
08167000,29.96523889,-98.8971667,1,all sites
08166500,29.94938219,-98.892533,1,all sites
08151000,30.7168457,-98.8836566,1,all sites
08152900,30.22048584,-98.8697812,1,all sites
08180640,29.3241246,-98.813081,1,all sites
08180586,29.61972778,-98.7951528,1,all sites
08180942,29.56138889,-98.7546667,1,all sites
08183850,29.81466345,-98.7536379,1,all sites
08181410,29.60189354,-98.7241906,1,all sites
08183890,29.78113056,-98.7128306,1,all sites
08183900,29.77498889,-98.7094694,1,all sites
08181400,29.57856108,-98.6916896,1,all sites
08180700,29.33495798,-98.689744,1,all sites
08167200,29.89358333,-98.6698333,1,all sites
08151500,30.7513041,-98.6697773,1,all sites
08153000,30.250202,-98.6669773,1,all sites
08181200,29.56217277,-98.657522,1,all sites
08180720,29.2952371,-98.6422426,1,all sites
08180750,29.3279722,-98.6388056,1,all sites
08181435,29.447875,-98.6337111,1,all sites
08181000,29.58744959,-98.6280769,1,all sites
08181450,29.3869009,-98.6002974,1,all sites
08180990,29.59305556,-98.5991667,1,all sites
08181480,29.32995837,-98.5841856,1,all sites
08180800,29.26218286,-98.5814074,1,all sites
08178585,29.63078135,-98.5655755,1,all sites
08178300,29.45828738,-98.5500187,1,all sites
08206600,28.46749279,-98.5475174,1,all sites
08177600,29.57661659,-98.5461303,1,all sites
08206700,28.58748787,-98.5458513,1,all sites
08178593,29.5638611,-98.5196667,1,all sites
08178600,29.62550376,-98.5186298,1,all sites
08207290,29,-98.5116667,1,all sites
08178500,29.40634484,-98.5108795,1,all sites
08177700,29.4991192,-98.5102958,1,all sites
08178504,29.39163889,-98.499675,1,all sites
08178505,29.38801205,-98.4986281,1,all sites
08178000,29.40967796,-98.495017,1,all sites
08178050,29.39301189,-98.4947392,1,all sites
08183978,29.73677778,-98.4933722,1,all sites
08181500,29.2641276,-98.4908493,1,all sites
08167347,29.85530556,-98.4848333,1,all sites
08167353,29.85623889,-98.480075,1,all sites
08177860,29.4513432,-98.478628,1,all sites
08167350,29.85038889,-98.4728889,1,all sites
08152000,30.5576991,-98.472271,1,all sites
08178736,29.44384356,-98.4539051,1,all sites
08178565,29.32218095,-98.450322,1,all sites
08178640,29.6232818,-98.4416833,1,all sites
08178690,29.5268962,-98.4405719,1,all sites
08178700,29.5160633,-98.4311271,1,all sites
08184000,29.72605615,-98.4272388,1,all sites
08178800,29.35718017,-98.4127925,1,all sites
08184050,29.74826667,-98.4076833,1,all sites
08181725,29.2354111,-98.4026083,1,all sites
08153500,30.29187379,-98.3994904,1,all sites
08167500,29.8604957,-98.3836275,1,all sites
08184500,29.6752247,-98.3836263,1,all sites
08207700,29.01580366,-98.3772354,1,all sites
08167600,29.91854906,-98.3697387,1,all sites
08181750,29.2373472,-98.3686083,1,all sites
08181800,29.2221853,-98.3558463,1,all sites
08207000,28.49221399,-98.3466783,1,all sites
08207500,28.86497693,-98.3383454,1,all sites
08170890,30.02080556,-98.3305556,1,all sites
08185000,29.5941166,-98.3111242,1,all sites
08182500,29.26079533,-98.2930672,1,all sites
08194600,28.42138408,-98.284454,1,all sites
08208000,28.62220899,-98.2813988,1,all sites
08183000,29.21524158,-98.2611219,1,all sites
08206910,28.48610326,-98.2416752,1,all sites
08170905,30.0368,-98.2228972,1,all sites
08170950,30.00058333,-98.2003611,1,all sites
08185065,29.50144444,-98.18625,1,all sites
08167800,29.85910758,-98.1800106,1,all sites
08210000,28.42749545,-98.1780625,1,all sites
08183200,29.11,-98.1744444,1,all sites
08185100,29.44388889,-98.1688889,1,all sites
08168797,29.688,-98.1548333,1,all sites
08168932,29.7089611,-98.1334417,1,all sites
08168913,29.71007778,-98.1316611,1,all sites
