path,type,size,permissions,modification_time,user,group,device_id,hard_links,special_device_id,inode,block_size,blocks,flags,generation,access_time,change_time,birth_time,file_type,basename,basename_no_ext,relative_path,top_folder,context_key,size_mb,last_modified,possible_duplicate
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Beach_Ridges_and_Sand_Deltas.gpkg,file, 109.99M,rw-r--r--,2025-06-18T03:41:56Z,cjtinant,staff,16777231,1,0,220491802,4096,0,1073741920,0,2025-07-13T01:10:50Z,2025-07-13T01:10:36Z,2025-06-18T03:41:55Z,gpkg,Beach_Ridges_and_Sand_Deltas.gpkg,Beach_Ridges_and_Sand_Deltas,nhdphr_catchments/Beach_Ridges_and_Sand_Deltas.gpkg,nhdphr_catchments,nhdphr_catchments/Beach_Ridges_and_Sand_Deltas,115.34,2025-06-18T03:41:56Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Big_Sioux_Basin.gpkg,file, 137.99M,rw-r--r--,2025-06-18T04:47:52Z,cjtinant,staff,16777231,1,0,220518949,4096,0,1073741920,0,2025-07-13T01:10:51Z,2025-07-13T01:10:36Z,2025-06-18T04:47:51Z,gpkg,Big_Sioux_Basin.gpkg,Big_Sioux_Basin,nhdphr_catchments/Big_Sioux_Basin.gpkg,nhdphr_catchments,nhdphr_catchments/Big_Sioux_Basin,144.7,2025-06-18T04:47:52Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Broken_Red_Plains.gpkg,file, 611.56M,rw-r--r--,2025-06-17T23:43:42Z,cjtinant,staff,16777231,1,0,220420283,4096,0,1073741920,0,2025-07-13T01:10:51Z,2025-07-13T01:10:36Z,2025-06-17T23:43:40Z,gpkg,Broken_Red_Plains.gpkg,Broken_Red_Plains,nhdphr_catchments/Broken_Red_Plains.gpkg,nhdphr_catchments,nhdphr_catchments/Broken_Red_Plains,641.27,2025-06-17T23:43:42Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Canadian_Canyons.gpkg,file, 137.11M,rw-r--r--,2025-06-18T05:51:36Z,cjtinant,staff,16777231,1,0,220545837,4096,0,1073741920,0,2025-07-13T01:10:50Z,2025-07-13T01:10:36Z,2025-06-18T05:51:35Z,gpkg,Canadian_Canyons.gpkg,Canadian_Canyons,nhdphr_catchments/Canadian_Canyons.gpkg,nhdphr_catchments,nhdphr_catchments/Canadian_Canyons,143.77,2025-06-18T05:51:36Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Canadian_Cimarron_Breaks.gpkg,file, 593.43M,rw-r--r--,2025-06-18T05:13:03Z,cjtinant,staff,16777231,1,0,220532685,4096,0,1073741920,0,2025-07-13T01:10:51Z,2025-07-13T01:10:36Z,2025-06-18T05:13:00Z,gpkg,Canadian_Cimarron_Breaks.gpkg,Canadian_Cimarron_Breaks,nhdphr_catchments/Canadian_Cimarron_Breaks.gpkg,nhdphr_catchments,nhdphr_catchments/Canadian_Cimarron_Breaks,622.25,2025-06-18T05:13:03Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Canadian_Cimarron_High_Plains.gpkg,file, 344.14M,rw-r--r--,2025-06-18T02:53:45Z,cjtinant,staff,16777231,1,0,220470503,4096,0,1073741920,0,2025-07-13T01:10:51Z,2025-07-13T01:10:36Z,2025-06-18T02:53:44Z,gpkg,Canadian_Cimarron_High_Plains.gpkg,Canadian_Cimarron_High_Plains,nhdphr_catchments/Canadian_Cimarron_High_Plains.gpkg,nhdphr_catchments,nhdphr_catchments/Canadian_Cimarron_High_Plains,360.85,2025-06-18T02:53:45Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Caprock_Canyons_Badlands_and_Breaks.gpkg,file, 780.66M,rw-r--r--,2025-06-18T05:23:52Z,cjtinant,staff,16777231,1,0,220536030,4096,0,1073741920,0,2025-07-13T01:10:51Z,2025-07-13T01:10:36Z,2025-06-18T05:23:48Z,gpkg,Caprock_Canyons_Badlands_and_Breaks.gpkg,Caprock_Canyons_Badlands_and_Breaks,nhdphr_catchments/Caprock_Canyons_Badlands_and_Breaks.gpkg,nhdphr_catchments,nhdphr_catchments/Caprock_Canyons_Badlands_and_Breaks,818.59,2025-06-18T05:23:52Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Carbonate_Cross_Timbers.gpkg,file,  88.34M,rw-r--r--,2025-06-18T00:55:15Z,cjtinant,staff,16777231,1,0,220434337,4096,0,1073741920,0,2025-07-13T01:10:50Z,2025-07-13T01:10:36Z,2025-06-18T00:55:14Z,gpkg,Carbonate_Cross_Timbers.gpkg,Carbonate_Cross_Timbers,nhdphr_catchments/Carbonate_Cross_Timbers.gpkg,nhdphr_catchments,nhdphr_catchments/Carbonate_Cross_Timbers,92.63,2025-06-18T00:55:15Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Casper_Arch.gpkg,file,  86.68M,rw-r--r--,2025-06-18T17:58:26Z,cjtinant,staff,16777231,1,0,221044562,4096,0,1073741920,0,2025-07-13T01:10:50Z,2025-07-13T01:10:36Z,2025-06-18T17:58:26Z,gpkg,Casper_Arch.gpkg,Casper_Arch,nhdphr_catchments/Casper_Arch.gpkg,nhdphr_catchments,nhdphr_catchments/Casper_Arch,90.89,2025-06-18T17:58:26Z,FALSE
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/nhdphr_catchments/Central_Nebraska_Loess_Plains.gpkg,file, 298.02M,rw-r--r--,2025-06-17T23:41:42Z,cjtinant,staff,16777231,1,0,220419974,4096,0,1073741920,0,2025-07-13T01:10:51Z,2025-07-13T01:10:36Z,2025-06-17T23:41:41Z,gpkg,Central_Nebraska_Loess_Plains.gpkg,Central_Nebraska_Loess_Plains,nhdphr_catchments/Central_Nebraska_Loess_Plains.gpkg,nhdphr_catchments,nhdphr_catchments/Central_Nebraska_Loess_Plains,312.49,2025-06-17T23:41:42Z,FALSE
